species	assembly	source	taxonomy	assembly_link	annotation_link	file_type	group
Ashbya_gossypii	ASM9102v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Saccharomycetes::Saccharomycetales::Saccharomycetaceae::Ashbya	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/ashbya_gossypii/dna/Ashbya_gossypii.ASM9102v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/ashbya_gossypii/Ashbya_gossypii.ASM9102v1.47.gtf.gz	gtf	263
Saccharomyces_cerevisiae	R64-1-1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Saccharomycetes::Saccharomycetales::Saccharomycetaceae::Saccharomyces	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/saccharomyces_cerevisiae/dna/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/saccharomyces_cerevisiae/Saccharomyces_cerevisiae.R64-1-1.47.gtf.gz	gtf	263
Schizosaccharomyces_pombe	ASM294v2	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Taphrinomycotina::Schizosaccharomycetales::Schizosaccharomycetaceae::Schizosaccharomyces	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/schizosaccharomyces_pombe/dna/Schizosaccharomyces_pombe.ASM294v2.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/schizosaccharomyces_pombe/Schizosaccharomyces_pombe.ASM294v2.47.gtf.gz	gtf	263
Cryptococcus_neoformans	ASM9104v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Agaricomycotina::Tremellomycetes::Tremellales::Cryptococcus	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/cryptococcus_neoformans/dna/Cryptococcus_neoformans.ASM9104v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/cryptococcus_neoformans/Cryptococcus_neoformans.ASM9104v1.47.gtf.gz	gtf	263
Melampsora_larici-populina	v1.0	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Pucciniomycetes::Pucciniales::Melampsoraceae::Melampsora	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/melampsora_laricipopulina/dna/Melampsora_laricipopulina.GCA_000204055.1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/melampsora_laricipopulina/Melampsora_laricipopulina.GCA_000204055.1.47.gtf.gz	gtf	263
Puccinia_graminis	ASM14992v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Pucciniomycetes::Pucciniales::Pucciniaceae::Puccinia	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/puccinia_graminis/dna/Puccinia_graminis.ASM14992v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/puccinia_graminis/Puccinia_graminis.ASM14992v1.47.gtf.gz	gtf	263
Puccinia_triticina	ASM15152v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Pucciniomycetes::Pucciniales::Pucciniaceae::Puccinia	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/puccinia_triticina/dna/Puccinia_triticina.ASM15152v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/puccinia_triticina/Puccinia_triticina.ASM15152v1.47.gtf.gz	gtf	263
Microbotryum_violaceum	M_violaceum_V1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Pucciniomycotina::Microbotryomycetes::Microbotryales::Microbotryum	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/microbotryum_violaceum/dna/Microbotryum_violaceum.GCA_000166175.1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/microbotryum_violaceum/Microbotryum_violaceum.GCA_000166175.1.47.gtf.gz	gtf	263
Sporisorium_reilianum	ASM23024v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Pucciniomycotina::Microbotryomycetes::Microbotryales::Sporisorium	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/sporisorium_reilianum/dna/Sporisorium_reilianum.GCA_000230245.1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/sporisorium_reilianum/Sporisorium_reilianum.GCA_000230245.1.47.gtf.gz	gtf	263
Ustilago_maydis	Umaydis521_2.0	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Basidiomycota::Ustilaginomycotina::Ustilainales::Ustilaginaceae::Ustilago	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/ustilago_maydis/dna/Ustilago_maydis.Umaydis521_2.0.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/ustilago_maydis/Ustilago_maydis.Umaydis521_2.0.47.gtf.gz	gtf	263
Bifiguratus_adelaidae	ASM226119v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Mucoromycota::Mucoromycotina::Endogonales::NA::Bifiguratus	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_mucoromycota1_collection/bifiguratus_adelaidae_gca_002261195/dna/Bifiguratus_adelaidae_gca_002261195.ASM226119v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_mucoromycota1_collection/bifiguratus_adelaidae_gca_002261195/Bifiguratus_adelaidae_gca_002261195.ASM226119v1.47.gtf.gz	gtf	263
Mucor_circinelloides	Muco_sp_1006Ph_V1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Mucoromycota::Mucoromycotina::Mucorales::Mucoraceae::Mucor	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_mucoromycota1_collection/mucor_circinelloides_f_circinelloides_1006phl_gca_000401635/dna/Mucor_circinelloides_f_circinelloides_1006phl_gca_000401635.Muco_sp_1006Ph_V1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_mucoromycota1_collection/mucor_circinelloides_f_circinelloides_1006phl_gca_000401635/Mucor_circinelloides_f_circinelloides_1006phl_gca_000401635.Muco_sp_1006Ph_V1.47.gtf.gz	gtf	263
Syncephalastrum_racemosum	Synrac1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Mucoromycota::Mucoromycotina::Mucorales::Mucoraceae::Syncephalastrum	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_mucoromycota1_collection/syncephalastrum_racemosum_gca_002105135/dna/Syncephalastrum_racemosum_gca_002105135.Synrac1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_mucoromycota1_collection/syncephalastrum_racemosum_gca_002105135/Syncephalastrum_racemosum_gca_002105135.Synrac1.47.gtf.gz	gtf	263
Rhizopus_delemar	RO3	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Mucoromycota::Mucoromycotina::Mucorales::Rhizopodaceae::Rhizopus	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_mucoromycota1_collection/rhizopus_delemar_ra_99_880_gca_000149305/dna/Rhizopus_delemar_ra_99_880_gca_000149305.RO3.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_mucoromycota1_collection/rhizopus_delemar_ra_99_880_gca_000149305/Rhizopus_delemar_ra_99_880_gca_000149305.RO3.47.gtf.gz	gtf	263
Batrachochytrium_dendrobatidis	v1.0	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::Chytridiomycetes::Rhizophydiales::NA::Batrachochytrium	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_chytridiomycota1_collection/batrachochytrium_dendrobatidis_jam81_gca_000203795/dna/Batrachochytrium_dendrobatidis_jam81_gca_000203795.v1.0.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_chytridiomycota1_collection/batrachochytrium_dendrobatidis_jam81_gca_000203795/Batrachochytrium_dendrobatidis_jam81_gca_000203795.v1.0.47.gtf.gz	gtf	263
Spizellomyces_punctatus	S_punctatus_V1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::Chytridiomycetes::Spizellomycetales::Spizellomycetaceae::Spizellomyces	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_chytridiomycota1_collection/spizellomyces_punctatus_daom_br117_gca_000182565/dna/Spizellomyces_punctatus_daom_br117_gca_000182565.S_punctatus_V1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_chytridiomycota1_collection/spizellomyces_punctatus_daom_br117_gca_000182565/Spizellomyces_punctatus_daom_br117_gca_000182565.S_punctatus_V1.47.gtf.gz	gtf	263
Allomyces_macrogynus	A_macrogynus_V3	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Blastocladiales::Blastocladiaceae::Allomyces	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/dna/Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3.47.gtf.gz	gtf	263
Catenaria_anguillulae	Catan2	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Blastocladiales::Catenariaceae::Catenaria	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_blastocladiomycota1_collection/catenaria_anguillulae_pl171_gca_002102555/dna/Catenaria_anguillulae_pl171_gca_002102555.Catan2.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_blastocladiomycota1_collection/catenaria_anguillulae_pl171_gca_002102555/Catenaria_anguillulae_pl171_gca_002102555.Catan2.47.gtf.gz	gtf	263
Gonapodya_prolifera	Ganpr1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Monoblepharidales::Gonapodyaceae::Gonapodya	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_chytridiomycota1_collection/gonapodya_prolifera_jel478_gca_001574975/dna/Gonapodya_prolifera_jel478_gca_001574975.Ganpr1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_chytridiomycota1_collection/gonapodya_prolifera_jel478_gca_001574975/Gonapodya_prolifera_jel478_gca_001574975.Ganpr1.47.gtf.gz	gtf	263
Neocallimastix_californiae	Neocallimastix_sp._G1_v1.0	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Neocallimastigales::Neocallimastigaceae::Neocallimastix	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_neocallimastigomycota1_collection/neocallimastix_californiae_gca_002104975/dna/Neocallimastix_californiae_gca_002104975.Neocallimastix_sp._G1_v1.0.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_neocallimastigomycota1_collection/neocallimastix_californiae_gca_002104975/Neocallimastix_californiae_gca_002104975.Neocallimastix_sp._G1_v1.0.47.gtf.gz	gtf	263
Rozella_allomycis	Rozella_k41_t100	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Opisthosporidia::Cryptomycota::Rozella	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_rozellomycota1_collection/rozella_allomycis_csf55_gca_000442015/dna/Rozella_allomycis_csf55_gca_000442015.Rozella_k41_t100.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_rozellomycota1_collection/rozella_allomycis_csf55_gca_000442015/Rozella_allomycis_csf55_gca_000442015.Rozella_k41_t100.47.gtf.gz	gtf	263
Encephalitozoon_cuniculi	ECIIIL	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Opisthosporidia::Microsporidia::Encephalitozoon	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_microsporidia1_collection/encephalitozoon_cuniculi_ecuniii_l_gca_001078035/dna/Encephalitozoon_cuniculi_ecuniii_l_gca_001078035.ECIIIL.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_microsporidia1_collection/encephalitozoon_cuniculi_ecuniii_l_gca_001078035/Encephalitozoon_cuniculi_ecuniii_l_gca_001078035.ECIIIL.47.gtf.gz	gtf	263
Paramicrosporidium_saccamoebae	KSL3_v6	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::NA::NA::Opisthosporidia::Microsporidia::Paramicrosporidium	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_rozellomycota1_collection/paramicrosporidium_saccamoebae_gca_002794465/dna/Paramicrosporidium_saccamoebae_gca_002794465.KSL3_v6.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_rozellomycota1_collection/paramicrosporidium_saccamoebae_gca_002794465/Paramicrosporidium_saccamoebae_gca_002794465.KSL3_v6.47.gtf.gz	gtf	263
Basidiobolus_meristosporus	Basme2finSC	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Zoopagomycota::Entomophthoromycotina::Basidiobolomycetes::Basidiobolaceae::Basidiobolus	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fungi_entomophthoromycota1_collection/basidiobolus_meristosporus_cbs_931_73_gca_002104905/dna/Basidiobolus_meristosporus_cbs_931_73_gca_002104905.Basme2finSC.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fungi_entomophthoromycota1_collection/basidiobolus_meristosporus_cbs_931_73_gca_002104905/Basidiobolus_meristosporus_cbs_931_73_gca_002104905.Basme2finSC.47.gtf.gz	gtf	263
Helobdella_robusta	Helro1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Annelida::Clitellata::Rhynchobdellida::Glossiphoniidae::Helobdella	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/helobdella_robusta/dna/Helobdella_robusta.Helro1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/helobdella_robusta/Helobdella_robusta.Helro1.47.gtf.gz	gtf	263
Ixodes_scapularis	Iscal1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Arachnida::Ixodida::Ixodidae::Ixodes	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/ixodes_scapularis/dna/Ixodes_scapularis.IscaW1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/ixodes_scapularis/Ixodes_scapularis.IscaW1.47.gtf.gz	gtf	263
Sarcoptes_scabiei	SscaA1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Arachnida::Sarcoptiformes::Sarcoptidae::Sarcoptes	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/sarcoptes_scabiei/dna/Sarcoptes_scabiei.SscaA1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/sarcoptes_scabiei/Sarcoptes_scabiei.SscaA1.47.gtf.gz	gtf	263
Tetranychus_urticae	ASM23943v1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Arachnida::Trombidiformes::Tetranychidae::Tetranychus	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/tetranychus_urticae/dna/Tetranychus_urticae.ASM23943v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/tetranychus_urticae/Tetranychus_urticae.ASM23943v1.47.gtf.gz	gtf	263
Leptotrombidium_deliense	LdelU1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Arachnida::Trombidiformes::Trombiculidae::Leptotrombidium	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/leptotrombidium_deliense/dna/Leptotrombidium_deliense.LdelU1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/leptotrombidium_deliense/Leptotrombidium_deliense.LdelU1.47.gtf.gz	gtf	263
Dinothrombium_tinctorium	DtinU1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Arachnida::Trombidiformes::Trombidiidae::Dinothrombium	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/dinothrombium_tinctorium/dna/Dinothrombium_tinctorium.DtinU1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/dinothrombium_tinctorium/Dinothrombium_tinctorium.DtinU1.47.gtf.gz	gtf	263
Daphnia_magna	daphmag2.4	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Branchipoda::Cladocera::Daphniidae::Daphnia	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/daphnia_magna/dna/Daphnia_magna.daphmag2.4.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/daphnia_magna/Daphnia_magna.daphmag2.4.47.gtf.gz	gtf	263
Strigamia_maritima	Smar1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Chilopoda::Geophilomorpha::Linotaeniidae::Strigamia	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/strigamia_maritima/dna/Strigamia_maritima.Smar1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/strigamia_maritima/Strigamia_maritima.Smar1.47.gtf.gz	gtf	263
Anoplophora_glabripennis	Agla_1.0	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Coleoptera::Cerambycidae::Anoplophora	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/anoplophora_glabripennis/dna/Anoplophora_glabripennis.Agla_1.0.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/anoplophora_glabripennis/Anoplophora_glabripennis.Agla_1.0.47.gtf.gz	gtf	263
Dendroctonus_ponderosae	DendPond_male_1.0	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Coleoptera::Curculionidae::Dendroctonus	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/dendroctonus_ponderosae/dna/Dendroctonus_ponderosae.DendPond_male_1.0.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/dendroctonus_ponderosae/Dendroctonus_ponderosae.DendPond_male_1.0.47.gtf.gz	gtf	263
Tribolium_castaneum	Tcas5.2	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Coleoptera::Tenebrionidae::Tribolium	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/tribolium_castaneum/dna/Tribolium_castaneum.Tcas5.2.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/tribolium_castaneum/Tribolium_castaneum.Tcas5.2.47.gtf.gz	gtf	263
Aedes_aegypti	AaegL5	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Diptera::Culicidae::Aedes	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/aedes_aegypti_lvpagwg/dna/Aedes_aegypti_lvpagwg.AaegL5.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/aedes_aegypti_lvpagwg/Aedes_aegypti_lvpagwg.AaegL5.47.gtf.gz	gtf	263
Anopheles_gambiae	AgamP4	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Diptera::Culicidae::Anopheles	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/anopheles_gambiae/dna/Anopheles_gambiae.AgamP4.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/anopheles_gambiae/Anopheles_gambiae.AgamP4.47.gtf.gz	gtf	263
Culex_quinquefasciatus	CpipJ2	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Diptera::Culicidae::Culex	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/culex_quinquefasciatus/dna/Culex_quinquefasciatus.CpipJ2.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/culex_quinquefasciatus/Culex_quinquefasciatus.CpipJ2.47.gtf.gz	gtf	263
Musca_domestica	MdomA1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Diptera::Muscidae::Musca	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/musca_domestica/dna/Musca_domestica.MdomA1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/musca_domestica/Musca_domestica.MdomA1.47.gtf.gz	gtf	263
Apis_mellifera	Amel_4.5	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Hymenoptera::Apidae::Apis	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/apis_mellifera/dna/Apis_mellifera.Amel_4.5.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/apis_mellifera/Apis_mellifera.Amel_4.5.47.gtf.gz	gtf	263
Solenopsis_invicta	Si_gnG	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Hymenoptera::Formicidae::Solenopsis	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/solenopsis_invicta/dna/Solenopsis_invicta.Si_gnG.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/solenopsis_invicta/Solenopsis_invicta.Si_gnG.47.gtf.gz	gtf	263
Nasonia_vitripennis	Nvit_psr_1.1	EnsemblMetazoa47	Amorphea::Opisthokonta::Animalia::Arthropoda::Insecta::Hymenoptera::Pteromalidae::Nasonia	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/fasta/nasonia_vitripennis/dna/Nasonia_vitripennis.Nvit_2.1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/metazoa/release-47/gtf/nasonia_vitripennis/Nasonia_vitripennis.Nvit_2.1.47.gtf.gz	gtf	263
